metric,value
run_a_id,591b74731ece409587049ad24ea8a3c3
run_b_id,bd0fba2266ee48a9806a05efef79b5b2
,
cycle_time_a_cycle1_s,34.6949
cycle_time_a_cycle2_s,34.6641
cycle_time_a_cycle3_s,34.6633
cycle_time_b_cycle1_s,39.8634
cycle_time_b_cycle2_s,40.0231
cycle_time_b_cycle3_s,40.3036
cycle_time_a_mean_s,34.6741
cycle_time_a_std_s,0.0147
cycle_time_b_mean_s,40.0633
cycle_time_b_std_s,0.1819
,
joint_rmse_j1_rad,0.144329
joint_rmse_j2_rad,0.166667
joint_rmse_j3_rad,0.627493
joint_rmse_j4_rad,0.504178
joint_rmse_j5_rad,0.030857
joint_rmse_j6_rad,0.228058
joint_rmse_combined_rad,0.353439
,
tcp_path_rms_deviation_m,0.214405
tcp_path_std_deviation_m,0.138619
,
rms_current_a_j1_A,0.2767
rms_current_a_j2_A,1.2681
rms_current_a_j3_A,1.1662
rms_current_a_j4_A,0.6691
rms_current_a_j5_A,0.1984
rms_current_a_j6_A,0.2252
std_current_a_j1_A,0.2722
std_current_a_j2_A,0.4431
std_current_a_j3_A,0.4433
std_current_a_j4_A,0.3679
std_current_a_j5_A,0.1954
std_current_a_j6_A,0.2248
rms_current_b_j1_A,0.0035
rms_current_b_j2_A,1.0908
rms_current_b_j3_A,1.0002
rms_current_b_j4_A,0.4320
rms_current_b_j5_A,0.0100
rms_current_b_j6_A,0.0009
std_current_b_j1_A,0.0035
std_current_b_j2_A,0.1903
std_current_b_j3_A,0.1531
std_current_b_j4_A,0.0470
std_current_b_j5_A,0.0076
std_current_b_j6_A,0.0009
