metric,value
run_a_id,bd0fba2266ee48a9806a05efef79b5b2
run_b_id,52c26cbc5a2440e49f0c1c6560809b03
,
cycle_time_a_cycle1_s,39.8634
cycle_time_a_cycle2_s,40.0231
cycle_time_a_cycle3_s,40.3036
cycle_time_b_cycle1_s,34.6559
cycle_time_b_cycle2_s,34.6877
cycle_time_b_cycle3_s,34.6875
cycle_time_a_mean_s,40.0633
cycle_time_a_std_s,0.1819
cycle_time_b_mean_s,34.6770
cycle_time_b_std_s,0.0149
,
joint_rmse_j1_rad,0.144615
joint_rmse_j2_rad,0.166984
joint_rmse_j3_rad,0.628739
joint_rmse_j4_rad,0.505210
joint_rmse_j5_rad,0.030919
joint_rmse_j6_rad,0.228503
joint_rmse_combined_rad,0.354146
,
tcp_path_rms_deviation_m,0.214835
tcp_path_std_deviation_m,0.138742
,
rms_current_a_j1_A,0.0035
rms_current_a_j2_A,1.0908
rms_current_a_j3_A,1.0002
rms_current_a_j4_A,0.4320
rms_current_a_j5_A,0.0100
rms_current_a_j6_A,0.0009
std_current_a_j1_A,0.0035
std_current_a_j2_A,0.1903
std_current_a_j3_A,0.1531
std_current_a_j4_A,0.0470
std_current_a_j5_A,0.0076
std_current_a_j6_A,0.0009
rms_current_b_j1_A,0.2781
rms_current_b_j2_A,1.2685
rms_current_b_j3_A,1.1672
rms_current_b_j4_A,0.6749
rms_current_b_j5_A,0.1928
rms_current_b_j6_A,0.2246
std_current_b_j1_A,0.2744
std_current_b_j2_A,0.4482
std_current_b_j3_A,0.4534
std_current_b_j4_A,0.3819
std_current_b_j5_A,0.1900
std_current_b_j6_A,0.2240
