metric,value
run_a_id,db4c6d7389cf4311bfaae5cc67ae02c9
run_b_id,bd0fba2266ee48a9806a05efef79b5b2
,
cycle_time_a_cycle1_s,39.6475
cycle_time_a_cycle2_s,39.5677
cycle_time_a_cycle3_s,39.7677
cycle_time_b_cycle1_s,39.8634
cycle_time_b_cycle2_s,40.0231
cycle_time_b_cycle3_s,40.3036
cycle_time_a_mean_s,39.6610
cycle_time_a_std_s,0.0822
cycle_time_b_mean_s,40.0633
cycle_time_b_std_s,0.1819
,
joint_rmse_j1_rad,0.019849
joint_rmse_j2_rad,0.028074
joint_rmse_j3_rad,0.068876
joint_rmse_j4_rad,0.063256
joint_rmse_j5_rad,0.003549
joint_rmse_j6_rad,0.030503
joint_rmse_combined_rad,0.042564
,
tcp_path_rms_deviation_m,0.025492
tcp_path_std_deviation_m,0.018714
,
rms_current_a_j1_A,0.0035
rms_current_a_j2_A,1.0906
rms_current_a_j3_A,1.0001
rms_current_a_j4_A,0.4321
rms_current_a_j5_A,0.0100
rms_current_a_j6_A,0.0009
std_current_a_j1_A,0.0035
std_current_a_j2_A,0.1904
std_current_a_j3_A,0.1530
std_current_a_j4_A,0.0471
std_current_a_j5_A,0.0076
std_current_a_j6_A,0.0009
rms_current_b_j1_A,0.0035
rms_current_b_j2_A,1.0908
rms_current_b_j3_A,1.0002
rms_current_b_j4_A,0.4320
rms_current_b_j5_A,0.0100
rms_current_b_j6_A,0.0009
std_current_b_j1_A,0.0035
std_current_b_j2_A,0.1903
std_current_b_j3_A,0.1531
std_current_b_j4_A,0.0470
std_current_b_j5_A,0.0076
std_current_b_j6_A,0.0009
