metric,value
run_a_id,50541f164b8c498498ac82488096e07f
run_b_id,db4c6d7389cf4311bfaae5cc67ae02c9
,
cycle_time_b_cycle1_s,39.6475
cycle_time_b_cycle2_s,39.5677
cycle_time_b_cycle3_s,39.7677
cycle_time_b_mean_s,39.6610
cycle_time_b_std_s,0.0822
,
joint_rmse_j1_rad,1.414964
joint_rmse_j2_rad,0.519821
joint_rmse_j3_rad,0.822798
joint_rmse_j4_rad,0.435141
joint_rmse_j5_rad,0.806665
joint_rmse_j6_rad,0.284817
joint_rmse_combined_rad,0.803172
,
tcp_path_rms_deviation_m,0.629945
tcp_path_std_deviation_m,0.173801
,
rms_current_a_j1_A,0.0138
rms_current_a_j2_A,0.3283
rms_current_a_j3_A,0.7645
rms_current_a_j4_A,0.3664
rms_current_a_j5_A,0.0213
rms_current_a_j6_A,0.0000
std_current_a_j1_A,0.0138
std_current_a_j2_A,0.2169
std_current_a_j3_A,0.3867
std_current_a_j4_A,0.1748
std_current_a_j5_A,0.0194
std_current_a_j6_A,0.0000
rms_current_b_j1_A,0.0035
rms_current_b_j2_A,1.0906
rms_current_b_j3_A,1.0001
rms_current_b_j4_A,0.4321
rms_current_b_j5_A,0.0100
rms_current_b_j6_A,0.0009
std_current_b_j1_A,0.0035
std_current_b_j2_A,0.1904
std_current_b_j3_A,0.1530
std_current_b_j4_A,0.0471
std_current_b_j5_A,0.0076
std_current_b_j6_A,0.0009
