metric,value
run_a_id,f401272b9cbb4451a4e2f2897aec4f5c
run_b_id,efd7dfa6d36941419983b62e6000d5c4
,
cycle_time_a_cycle1_s,16.8959
cycle_time_a_cycle2_s,16.8714
cycle_time_a_cycle3_s,16.9756
cycle_time_b_cycle1_s,16.9687
cycle_time_b_cycle2_s,16.9678
cycle_time_b_cycle3_s,16.9755
cycle_time_a_mean_s,16.9143
cycle_time_b_mean_s,16.9707
,
joint_rmse_j1_rad,0.976993
joint_rmse_j2_rad,0.195363
joint_rmse_j3_rad,0.750061
joint_rmse_j4_rad,0.201597
joint_rmse_j5_rad,0.952244
joint_rmse_j6_rad,0.006214
joint_rmse_combined_rad,0.645849
,
tcp_path_rms_deviation_m,0.296638
,
rms_current_a_j1_A,0.0168
rms_current_a_j2_A,0.2952
rms_current_a_j3_A,0.6106
rms_current_a_j4_A,0.1827
rms_current_a_j5_A,0.0110
rms_current_a_j6_A,0.0000
rms_current_b_j1_A,0.0166
rms_current_b_j2_A,0.2399
rms_current_b_j3_A,0.6005
rms_current_b_j4_A,0.1806
rms_current_b_j5_A,0.0090
rms_current_b_j6_A,0.0000
