metric,value
run_a_id,db4c6d7389cf4311bfaae5cc67ae02c9
run_b_id,5f89c7100f234d9ca184cf32b5b6a4a5
,
cycle_time_a_cycle1_s,39.6475
cycle_time_a_cycle2_s,39.5677
cycle_time_a_cycle3_s,39.7677
cycle_time_a_mean_s,39.6610
cycle_time_a_std_s,0.0822
,
joint_rmse_j1_rad,1.414477
joint_rmse_j2_rad,0.519729
joint_rmse_j3_rad,0.823581
joint_rmse_j4_rad,0.435282
joint_rmse_j5_rad,0.807099
joint_rmse_j6_rad,0.284796
joint_rmse_combined_rad,0.803237
,
tcp_path_rms_deviation_m,0.629934
tcp_path_std_deviation_m,0.173829
,
rms_current_a_j1_A,0.0035
rms_current_a_j2_A,1.0906
rms_current_a_j3_A,1.0001
rms_current_a_j4_A,0.4321
rms_current_a_j5_A,0.0100
rms_current_a_j6_A,0.0009
std_current_a_j1_A,0.0035
std_current_a_j2_A,0.1904
std_current_a_j3_A,0.1530
std_current_a_j4_A,0.0471
std_current_a_j5_A,0.0076
std_current_a_j6_A,0.0009
rms_current_b_j1_A,0.0138
rms_current_b_j2_A,0.3282
rms_current_b_j3_A,0.7643
rms_current_b_j4_A,0.3663
rms_current_b_j5_A,0.0213
rms_current_b_j6_A,0.0000
std_current_b_j1_A,0.0138
std_current_b_j2_A,0.2169
std_current_b_j3_A,0.3869
std_current_b_j4_A,0.1749
std_current_b_j5_A,0.0194
std_current_b_j6_A,0.0000
