metric,value
run_a_id,e9fac96045ec4f04b6b3871eb8da0f72
run_b_id,a1608a53b26441f0a39e0ecf22c1cdbb
,
cycle_time_a_cycle1_s,17.1679
cycle_time_a_cycle2_s,17.1916
cycle_time_a_cycle3_s,17.1598
cycle_time_b_cycle1_s,17.3034
cycle_time_b_cycle2_s,17.3276
cycle_time_b_cycle3_s,17.2322
cycle_time_a_mean_s,17.1731
cycle_time_a_std_s,0.0135
cycle_time_b_mean_s,17.2877
cycle_time_b_std_s,0.0405
,
joint_rmse_j1_rad,0.053836
joint_rmse_j2_rad,0.018436
joint_rmse_j3_rad,0.048959
joint_rmse_j4_rad,0.017586
joint_rmse_j5_rad,0.064531
joint_rmse_j6_rad,0.000000
joint_rmse_combined_rad,0.041046
,
tcp_path_rms_deviation_m,0.022707
tcp_path_std_deviation_m,0.016408
,
rms_current_a_j1_A,0.0166
rms_current_a_j2_A,0.2397
rms_current_a_j3_A,0.6003
rms_current_a_j4_A,0.1806
rms_current_a_j5_A,0.0090
rms_current_a_j6_A,0.0000
std_current_a_j1_A,0.0166
std_current_a_j2_A,0.1672
std_current_a_j3_A,0.2712
std_current_a_j4_A,0.0748
std_current_a_j5_A,0.0081
std_current_a_j6_A,0.0000
rms_current_b_j1_A,0.0166
rms_current_b_j2_A,0.2396
rms_current_b_j3_A,0.6001
rms_current_b_j4_A,0.1805
rms_current_b_j5_A,0.0090
rms_current_b_j6_A,0.0000
std_current_b_j1_A,0.0166
std_current_b_j2_A,0.1672
std_current_b_j3_A,0.2711
std_current_b_j4_A,0.0747
std_current_b_j5_A,0.0082
std_current_b_j6_A,0.0000
