metric,value
run_a_id,4430d0dab34b41cea58da57a94a5a82c
run_b_id,bd0fba2266ee48a9806a05efef79b5b2
,
cycle_time_a_cycle1_s,34.6713
cycle_time_a_cycle2_s,34.6874
cycle_time_a_cycle3_s,34.6716
cycle_time_b_cycle1_s,39.8634
cycle_time_b_cycle2_s,40.0231
cycle_time_b_cycle3_s,40.3036
cycle_time_a_mean_s,34.6768
cycle_time_a_std_s,0.0075
cycle_time_b_mean_s,40.0633
cycle_time_b_std_s,0.1819
,
joint_rmse_j1_rad,0.144415
joint_rmse_j2_rad,0.166824
joint_rmse_j3_rad,0.627986
joint_rmse_j4_rad,0.504599
joint_rmse_j5_rad,0.030865
joint_rmse_j6_rad,0.228226
joint_rmse_combined_rad,0.353721
,
tcp_path_rms_deviation_m,0.214571
tcp_path_std_deviation_m,0.138621
,
rms_current_a_j1_A,0.2767
rms_current_a_j2_A,1.2692
rms_current_a_j3_A,1.1679
rms_current_a_j4_A,0.6737
rms_current_a_j5_A,0.2001
rms_current_a_j6_A,0.2260
std_current_a_j1_A,0.2726
std_current_a_j2_A,0.4484
std_current_a_j3_A,0.4505
std_current_a_j4_A,0.3768
std_current_a_j5_A,0.1976
std_current_a_j6_A,0.2254
rms_current_b_j1_A,0.0035
rms_current_b_j2_A,1.0908
rms_current_b_j3_A,1.0002
rms_current_b_j4_A,0.4320
rms_current_b_j5_A,0.0100
rms_current_b_j6_A,0.0009
std_current_b_j1_A,0.0035
std_current_b_j2_A,0.1903
std_current_b_j3_A,0.1531
std_current_b_j4_A,0.0470
std_current_b_j5_A,0.0076
std_current_b_j6_A,0.0009
