metric,value
run_a_id,3a5f7b417ae943289de7ff010291d60e
run_b_id,e9fac96045ec4f04b6b3871eb8da0f72
,
cycle_time_a_cycle1_s,17.1920
cycle_time_a_cycle2_s,17.1519
cycle_time_a_cycle3_s,17.2154
cycle_time_b_cycle1_s,17.1679
cycle_time_b_cycle2_s,17.1916
cycle_time_b_cycle3_s,17.1598
cycle_time_a_mean_s,17.1864
cycle_time_b_mean_s,17.1731
,
joint_rmse_j1_rad,0.005631
joint_rmse_j2_rad,0.001928
joint_rmse_j3_rad,0.005306
joint_rmse_j4_rad,0.001768
joint_rmse_j5_rad,0.007131
joint_rmse_j6_rad,0.000000
joint_rmse_combined_rad,0.004426
,
tcp_path_rms_deviation_m,0.002370
,
rms_current_a_j1_A,0.0166
rms_current_a_j2_A,0.2399
rms_current_a_j3_A,0.6005
rms_current_a_j4_A,0.1806
rms_current_a_j5_A,0.0090
rms_current_a_j6_A,0.0000
rms_current_b_j1_A,0.0166
rms_current_b_j2_A,0.2397
rms_current_b_j3_A,0.6003
rms_current_b_j4_A,0.1806
rms_current_b_j5_A,0.0090
rms_current_b_j6_A,0.0000
