metric,value
run_a_id,e3f9f181e87e46cea708a360fbc71876
run_b_id,d226469d9d2040949e761030edfbe991
,
cycle_time_a_cycle1_s,14.1200
cycle_time_a_cycle2_s,14.1356
cycle_time_a_cycle3_s,14.1281
cycle_time_b_cycle1_s,14.1198
cycle_time_b_cycle2_s,14.1199
cycle_time_b_cycle3_s,14.1120
cycle_time_a_mean_s,14.1279
cycle_time_a_std_s,0.0064
cycle_time_b_mean_s,14.1172
cycle_time_b_std_s,0.0037
,
joint_rmse_j1_rad,0.004965
joint_rmse_j2_rad,0.001693
joint_rmse_j3_rad,0.004110
joint_rmse_j4_rad,0.001749
joint_rmse_j5_rad,0.005096
joint_rmse_j6_rad,0.000028
joint_rmse_combined_rad,0.003499
,
tcp_path_rms_deviation_m,0.002131
tcp_path_std_deviation_m,0.001775
,
rms_current_a_j1_A,0.3133
rms_current_a_j2_A,0.3106
rms_current_a_j3_A,0.6577
rms_current_a_j4_A,0.2946
rms_current_a_j5_A,0.2356
rms_current_a_j6_A,0.1174
std_current_a_j1_A,0.3066
std_current_a_j2_A,0.2551
std_current_a_j3_A,0.4015
std_current_a_j4_A,0.2455
std_current_a_j5_A,0.2334
std_current_a_j6_A,0.0183
rms_current_b_j1_A,0.3154
rms_current_b_j2_A,0.3092
rms_current_b_j3_A,0.6578
rms_current_b_j4_A,0.2947
rms_current_b_j5_A,0.2362
rms_current_b_j6_A,0.1175
std_current_b_j1_A,0.3081
std_current_b_j2_A,0.2540
std_current_b_j3_A,0.4013
std_current_b_j4_A,0.2468
std_current_b_j5_A,0.2339
std_current_b_j6_A,0.0179
