metric,value
run_a_id,591b74731ece409587049ad24ea8a3c3
run_b_id,efd7dfa6d36941419983b62e6000d5c4
,
cycle_time_a_cycle1_s,34.6949
cycle_time_a_cycle2_s,34.6641
cycle_time_a_cycle3_s,34.6633
cycle_time_a_mean_s,34.6741
cycle_time_a_std_s,0.0147
,
joint_rmse_j1_rad,1.434985
joint_rmse_j2_rad,0.545256
joint_rmse_j3_rad,0.775438
joint_rmse_j4_rad,0.453625
joint_rmse_j5_rad,0.707237
joint_rmse_j6_rad,0.261777
joint_rmse_combined_rad,0.788699
,
tcp_path_rms_deviation_m,0.659083
tcp_path_std_deviation_m,0.173636
,
rms_current_a_j1_A,0.2767
rms_current_a_j2_A,1.2681
rms_current_a_j3_A,1.1662
rms_current_a_j4_A,0.6691
rms_current_a_j5_A,0.1984
rms_current_a_j6_A,0.2252
std_current_a_j1_A,0.2722
std_current_a_j2_A,0.4431
std_current_a_j3_A,0.4433
std_current_a_j4_A,0.3679
std_current_a_j5_A,0.1954
std_current_a_j6_A,0.2248
rms_current_b_j1_A,0.0166
rms_current_b_j2_A,0.2399
rms_current_b_j3_A,0.6005
rms_current_b_j4_A,0.1806
rms_current_b_j5_A,0.0090
rms_current_b_j6_A,0.0000
std_current_b_j1_A,0.0166
std_current_b_j2_A,0.1673
std_current_b_j3_A,0.2714
std_current_b_j4_A,0.0748
std_current_b_j5_A,0.0081
std_current_b_j6_A,0.0000
