metric,value
run_a_id,f1fc0d71d0c343bdaf06d2dc30368ef7
run_b_id,f901b764e3c143309e95aac9bbe1a016
,
cycle_time_a_cycle1_s,34.6552
cycle_time_a_cycle2_s,34.7033
cycle_time_a_cycle3_s,34.6716
cycle_time_b_cycle1_s,21.1277
cycle_time_b_cycle2_s,20.9281
cycle_time_b_cycle3_s,21.0077
cycle_time_a_mean_s,34.6767
cycle_time_a_std_s,0.0199
cycle_time_b_mean_s,21.0212
cycle_time_b_std_s,0.0820
,
joint_rmse_j1_rad,0.191175
joint_rmse_j2_rad,0.208970
joint_rmse_j3_rad,0.728237
joint_rmse_j4_rad,0.622842
joint_rmse_j5_rad,0.056537
joint_rmse_j6_rad,0.283463
joint_rmse_combined_rad,0.424662
,
tcp_path_rms_deviation_m,0.368730
tcp_path_std_deviation_m,0.163643
,
rms_current_a_j1_A,0.2705
rms_current_a_j2_A,1.2699
rms_current_a_j3_A,1.1662
rms_current_a_j4_A,0.6697
rms_current_a_j5_A,0.1964
rms_current_a_j6_A,0.2203
std_current_a_j1_A,0.2660
std_current_a_j2_A,0.4442
std_current_a_j3_A,0.4459
std_current_a_j4_A,0.3715
std_current_a_j5_A,0.1926
std_current_a_j6_A,0.2198
rms_current_b_j1_A,0.0075
rms_current_b_j2_A,1.0689
rms_current_b_j3_A,0.9646
rms_current_b_j4_A,0.4094
rms_current_b_j5_A,0.0115
rms_current_b_j6_A,0.0018
std_current_b_j1_A,0.0075
std_current_b_j2_A,0.2611
std_current_b_j3_A,0.2087
std_current_b_j4_A,0.0203
std_current_b_j5_A,0.0085
std_current_b_j6_A,0.0018
